library,code,name,Lab_L,Lab_a,Lab_b,C,M,Y,K,R,G,B
CMYK,PANTONE P 8-4 C,,81.56862745098039,1,40,,,,,,,
CMYK,PANTONE P 8-5 C,,78.03921568627452,2,45,,,,,,,
CMYK,PANTONE P 8-6 C,,75.68627450980392,2,51,,,,,,,
CMYK,PANTONE P 8-7 C,,71.76470588235294,3,63,,,,,,,
CMYK,PANTONE P 8-8 C,,68.23529411764706,4,69,,,,,,,
CMYK,PANTONE P 8-9 C,,90.98039215686275,0,10,,,,,,,
CMYK,PANTONE P 8-10 C,,87.84313725490196,0,18,,,,,,,
CMYK,PANTONE P 8-11 C,,83.92156862745098,0,26,,,,,,,
CMYK,PANTONE P 8-12 C,,79.6078431372549,1,33,,,,,,,
CMYK,PANTONE P 8-13 C,,75.68627450980392,1,40,,,,,,,
CMYK,PANTONE P 8-14 C,,70.98039215686275,2,46,,,,,,,
CMYK,PANTONE P 8-15 C,,67.05882352941175,3,56,,,,,,,
CMYK,PANTONE P 8-16 C,,62.35294117647059,4,61,,,,,,,
CMYK,PANTONE P 9-1 C,,87.45098039215686,1,14,,,,,,,
CMYK,PANTONE P 9-2 C,,82.35294117647058,1,23,,,,,,,
CMYK,PANTONE P 9-3 C,,78.82352941176471,1,31,,,,,,,
CMYK,PANTONE P 9-4 C,,74.11764705882354,1,36,,,,,,,
CMYK,PANTONE P 9-5 C,,69.41176470588235,2,40,,,,,,,
CMYK,PANTONE P 9-6 C,,63.921568627450974,3,46,,,,,,,
CMYK,PANTONE P 9-7 C,,58.43137254901961,3,51,,,,,,,
CMYK,PANTONE P 9-8 C,,52.94117647058824,5,54,,,,,,,
CMYK,PANTONE P 9-9 C,,84.31372549019608,0,17,,,,,,,
CMYK,PANTONE P 9-10 C,,79.2156862745098,0,24,,,,,,,
CMYK,PANTONE P 9-11 C,,74.90196078431373,0,30,,,,,,,
CMYK,PANTONE P 9-12 C,,69.80392156862744,1,34,,,,,,,
CMYK,PANTONE P 9-13 C,,64.70588235294117,2,39,,,,,,,
CMYK,PANTONE P 9-14 C,,58.03921568627452,3,44,,,,,,,
CMYK,PANTONE P 9-15 C,,51.76470588235295,3,47,,,,,,,
CMYK,PANTONE P 9-16 C,,45.490196078431374,3,45,,,,,,,
CMYK,PANTONE P 10-1 C,,91.37254901960785,2,18,,,,,,,
CMYK,PANTONE P 10-2 C,,89.80392156862746,3,26,,,,,,,
CMYK,PANTONE P 10-3 C,,88.23529411764706,4,34,,,,,,,
CMYK,PANTONE P 10-4 C,,86.27450980392157,6,41,,,,,,,
CMYK,PANTONE P 10-5 C,,84.70588235294117,7,46,,,,,,,
CMYK,PANTONE P 10-6 C,,82.74509803921568,8,55,,,,,,,
CMYK,PANTONE P 10-7 C,,80.0,11,66,,,,,,,
CMYK,PANTONE P 10-8 C,,78.03921568627452,13,76,,,,,,,
CMYK,PANTONE P 10-9 C,,89.01960784313725,2,18,,,,,,,
CMYK,PANTONE P 10-10 C,,86.66666666666667,3,25,,,,,,,
CMYK,PANTONE P 10-11 C,,84.31372549019608,4,32,,,,,,,
CMYK,PANTONE P 10-12 C,,81.56862745098039,5,37,,,,,,,
CMYK,PANTONE P 10-13 C,,79.2156862745098,6,44,,,,,,,
CMYK,PANTONE P 10-14 C,,76.47058823529412,8,50,,,,,,,
